Date,Forecasted_Quantity,Lower_Bound,Upper_Bound,Actual
2011-08-12,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-08-13,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-08-14,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-08-15,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-08-16,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-08-17,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-08-18,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-08-19,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-08-20,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-08-21,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-08-22,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-08-23,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-08-24,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-08-25,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-08-26,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-08-27,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-08-28,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-08-29,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-08-30,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-08-31,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-01,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-02,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-03,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-04,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-05,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-06,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-07,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-08,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-09,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-10,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-11,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-12,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-13,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-14,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-15,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-16,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-17,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-18,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-19,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-20,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-21,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-22,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-23,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-24,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-25,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-26,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-27,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-28,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-29,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-09-30,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-10-01,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-10-02,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-10-03,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-10-04,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-10-05,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-10-06,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-10-07,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-10-08,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-10-09,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-10-10,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-10-11,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-10-12,0.19047619047619063,-3.9834406694122926,4.364393050364674,0
2011-10-13,0.19047619047619063,-3.9834406694122926,4.364393050364674,72
