Date,Forecasted_Quantity,Lower_Bound,Upper_Bound,Actual
2011-05-04,1.709071130723016,-5.313677084657393,8.731819346103425,12.0
2011-05-05,0.0,-9.745592804033125,9.745592804033125,12.0
2011-05-06,0.0,-9.745592804033125,9.745592804033125,-24.0
2011-05-07,0.0,-9.745592804033125,9.745592804033125,0.0
2011-05-08,0.0,-9.745592804033125,9.745592804033125,12.0
2011-05-09,0.0,-9.745592804033125,9.745592804033125,-12.0
2011-05-10,0.0,-9.745592804033125,9.745592804033125,13.0
2011-05-11,0.0,-9.745592804033125,9.745592804033125,-13.0
2011-05-12,0.0,-9.745592804033125,9.745592804033125,0.0
2011-05-13,0.0,-9.745592804033125,9.745592804033125,0.0
2011-05-14,0.0,-9.745592804033125,9.745592804033125,0.0
2011-05-15,0.0,-9.745592804033125,9.745592804033125,0.0
2011-05-16,0.0,-9.745592804033125,9.745592804033125,0.0
2011-05-17,0.0,-9.745592804033125,9.745592804033125,0.0
2011-05-18,0.0,-9.745592804033125,9.745592804033125,2.0
2011-05-19,0.0,-9.745592804033125,9.745592804033125,34.0
2011-05-20,0.0,-9.745592804033125,9.745592804033125,-15.0
2011-05-21,0.0,-9.745592804033125,9.745592804033125,-21.0
2011-05-22,0.0,-9.745592804033125,9.745592804033125,0.0
2011-05-23,0.0,-9.745592804033125,9.745592804033125,0.0
2011-05-24,0.0,-9.745592804033125,9.745592804033125,0.0
2011-05-25,0.0,-9.745592804033125,9.745592804033125,3.0
2011-05-26,0.0,-9.745592804033125,9.745592804033125,-3.0
2011-05-27,0.0,-9.745592804033125,9.745592804033125,0.0
2011-05-28,0.0,-9.745592804033125,9.745592804033125,0.0
2011-05-29,0.0,-9.745592804033125,9.745592804033125,0.0
2011-05-30,0.0,-9.745592804033125,9.745592804033125,0.0
2011-05-31,0.0,-9.745592804033125,9.745592804033125,0.0
2011-06-01,0.0,-9.745592804033125,9.745592804033125,0.0
2011-06-02,0.0,-9.745592804033125,9.745592804033125,0.0
2011-06-03,0.0,-9.745592804033125,9.745592804033125,0.0
2011-06-04,0.0,-9.745592804033125,9.745592804033125,0.0
2011-06-05,0.0,-9.745592804033125,9.745592804033125,6.0
2011-06-06,0.0,-9.745592804033125,9.745592804033125,6.0
2011-06-07,0.0,-9.745592804033125,9.745592804033125,-12.0
2011-06-08,0.0,-9.745592804033125,9.745592804033125,0.0
2011-06-09,0.0,-9.745592804033125,9.745592804033125,1.0
