Date,Forecasted_Quantity,Lower_Bound,Upper_Bound,Actual
2011-08-29,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-08-30,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-08-31,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-01,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-02,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-03,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-04,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-05,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-06,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-07,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-08,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-09,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-10,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-11,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-12,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-13,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-14,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-15,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-16,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-17,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-18,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-19,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-20,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-21,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-22,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-23,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-24,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-25,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-26,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-27,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-28,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-29,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-09-30,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-01,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-02,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-03,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-04,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-05,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-06,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-07,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-08,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-09,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-10,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-11,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-12,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-13,0.981412639405205,-15.381474283813882,17.344299562624293,72
2011-10-14,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-15,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-16,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-17,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-18,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-19,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-20,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-21,0.981412639405205,-15.381474283813882,17.344299562624293,24
2011-10-22,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-23,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-24,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-25,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-26,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-27,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-28,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-29,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-30,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-10-31,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-11-01,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-11-02,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-11-03,0.981412639405205,-15.381474283813882,17.344299562624293,0
2011-11-04,0.981412639405205,-15.381474283813882,17.344299562624293,24
